Nr,naam,definitie,uml-type,ggm-guid,ggm-source-guid,ggm-source-guid,ggm-target-guid,toelichting,domein-iv3,archimate-type,gemma-guid,gemma-source-guid,gemma-target-guid,domein-dcat,domein-gemma
0,naam3,,Association,{EB1ECE1C-9867-46d8-B423-50862C0A344A},{EF4E7B58-F178-4a4f-85C5-A5CD93747A36},{EF4E7B58-F178-4a4f-85C5-A5CD93747A36},{23D170D0-917E-4873-A622-43214405AB3D},<memo>,Tekenwijze,,,,,,
1,naam4,,Association,{476E7F9D-D7F2-4279-B35B-981DCDA389E0},{EF4E7B58-F178-4a4f-85C5-A5CD93747A36},{EF4E7B58-F178-4a4f-85C5-A5CD93747A36},{97EE5348-F06A-44cb-A792-7371CF5D2E53},<memo>,Tekenwijze,,,,,,
2,naam2 (werkwoord),,Association,{18883E50-FEE4-4c26-A82E-28BB87F53C62},{DE4D6CAB-7798-46cd-AE1B-328684681323},{DE4D6CAB-7798-46cd-AE1B-328684681323},{0799B0D1-5067-43e2-8A6F-48FB972225E5},<memo>,Tekenwijze,,,,,,
3,naam1 (werkwoord),,Association,{3F495D53-B1CF-4dda-A6CA-903B2ECC735F},{AE553F3F-B8B6-4bd2-A6A1-8051145C823B},{AE553F3F-B8B6-4bd2-A6A1-8051145C823B},{0799B0D1-5067-43e2-8A6F-48FB972225E5},<memo>,Tekenwijze,,,,,,
4,is specialisatie van,,Generalization,{CA4EDB07-778F-42c4-85ED-A5FE4AF8B21F},{AE553F3F-B8B6-4bd2-A6A1-8051145C823B},{AE553F3F-B8B6-4bd2-A6A1-8051145C823B},{889A7DC6-B389-4e02-BB53-CC0B2B5B0D91},,Tekenwijze,,,,,,
5,is belast met,Verwijzing naar het ZAKELIJK RECHT waarmee het onderhavige ZAKELIJK RECHT is belast.,Association,{BA508E5B-A499-4ff8-91A5-37368D6C0481},{8C809341-AC60-4378-8BA0-0843E8C06AF3},{8C809341-AC60-4378-8BA0-0843E8C06AF3},{8C809341-AC60-4378-8BA0-0843E8C06AF3},<memo>,RSGB Model,,,,,,
6,heeft betrekking op,Een verwijzing naar het recht dat door een persoon wordt uitgeoefend op een kadastrale onroerende zaak.,Association,{37F7170A-15AE-4bf3-9042-193E6084A3E8},{2651D6E0-6AC8-43a8-A4F6-4706209BAC8E},{2651D6E0-6AC8-43a8-A4F6-4706209BAC8E},{8C809341-AC60-4378-8BA0-0843E8C06AF3},<memo>,RSGB Model,,,,,,
7,is beperkt tot,Verwijzing naar de TENAAMSTELLING waarop  het  ZAKELIJK RECHT beperking  heeft.,Association,{F9F7F2FF-30E9-49b4-B5B6-9B4FB86E8500},{8C809341-AC60-4378-8BA0-0843E8C06AF3},{8C809341-AC60-4378-8BA0-0843E8C06AF3},{2651D6E0-6AC8-43a8-A4F6-4706209BAC8E},<memo>,RSGB Model,,,,,,
8,bezwaart,De TENAAMSTELLING waarop een ZEKERHEIDSRECHT rust.,Association,{318C7F68-3C41-4539-981A-F0204B8BBE28},{3397A5B5-E789-46e6-8559-C528EA55F830},{3397A5B5-E789-46e6-8559-C528EA55F830},{2651D6E0-6AC8-43a8-A4F6-4706209BAC8E},<memo>,RSGB Model,,,,,,
9,heeft,,Association,{A1F4ED3F-AB5A-47b2-A1E8-F24FB4DCF6FC},{9DF5AC43-3673-4b9a-BB5E-6DCA7BE28835},{9DF5AC43-3673-4b9a-BB5E-6DCA7BE28835},{2651D6E0-6AC8-43a8-A4F6-4706209BAC8E},,RSGB Model,,,,,,
10,rust op,Een verwijzing naar de KADASTRALE ONROERENDE ZAAK waarop het ZAKELIJK RECHT betrekking heeft.,Association,{2BE9BA3F-23CF-4095-84AC-068C9CE16747},{8C809341-AC60-4378-8BA0-0843E8C06AF3},{8C809341-AC60-4378-8BA0-0843E8C06AF3},{9775E778-DBF8-4122-94CE-551466B62F46},<memo>,RSGB Model,,,,,,
11,rust op,De KADASTRAAL ONROERENDE ZAAK waarop een ZEKERHEIDSRECHT rust. ,Association,{3D506CBC-2417-4aee-83A2-EC872CC303C7},{3397A5B5-E789-46e6-8559-C528EA55F830},{3397A5B5-E789-46e6-8559-C528EA55F830},{9775E778-DBF8-4122-94CE-551466B62F46},<memo>,RSGB Model,,,,,,
12,bevat,De unieke aanduidingen van de KADASTRALE ONROERENDE ZAAKen opgenomen in de Basis Registratie Kadaster die geheel of gedeeltelijk deel uitmaken van het WOZ-OBJECT.,Association,{F439C704-DBE5-4b8e-9E90-EC979F1F360D},{CB7BA76D-0793-4d5a-9596-533C5BC56BBF},{CB7BA76D-0793-4d5a-9596-533C5BC56BBF},{9775E778-DBF8-4122-94CE-551466B62F46},<memo>,RSGB Model,,,,,,
13,heeft betrekking op,De KADASTRALE ONROERENDE ZAAK waarbij de AANTEKENING geplaatst is.,Association,{93CC56E0-B35A-4317-85E1-E1B28052DE8D},{0BC18F79-3560-4e43-8154-7CCDC7D67A03},{0BC18F79-3560-4e43-8154-7CCDC7D67A03},{9775E778-DBF8-4122-94CE-551466B62F46},<memo>,RSGB Model,,,,,,
14,is ontstaan uit andere kadastrale onroerende zaak bij,De verwijzing naar andere KADASTRALE ONROERENDE ZAAKen waaruit de KADASTRALE ONROERENDE ZAAK is ontstaan.,Association,{EBEE5BED-D39A-4e50-ACD7-4924DF1DF463},{9775E778-DBF8-4122-94CE-551466B62F46},{9775E778-DBF8-4122-94CE-551466B62F46},{9775E778-DBF8-4122-94CE-551466B62F46},<memo>,RSGB Model,,,,,,
15,gerelateerd,,Association,{7912F892-8D2F-464d-BE9D-E90D1CEEA7DE},{9775E778-DBF8-4122-94CE-551466B62F46},{9775E778-DBF8-4122-94CE-551466B62F46},{9775E778-DBF8-4122-94CE-551466B62F46},,RSGB Model,,,,,,
16,is specialisatie van,,Generalization,{B14AD247-EC60-4a80-BFA9-78EB5738E001},{172AFD36-B400-4660-BFAC-4BBC1077D666},{172AFD36-B400-4660-BFAC-4BBC1077D666},{9775E778-DBF8-4122-94CE-551466B62F46},,RSGB Model,,,,,,
17,is specialisatie van,,Generalization,{DC2B12AC-F981-4fa4-8010-9BF6F758DD75},{869E0A04-A663-4839-970D-7FB82DF6C317},{869E0A04-A663-4839-970D-7FB82DF6C317},{9775E778-DBF8-4122-94CE-551466B62F46},,RSGB Model,,,,,,
18,is voor,De aan het WOZ-OBJECT gerelateerde WOZ-WAARDEn,Association,{A4DEBE31-2675-4c3c-8F18-30059602F874},{7C387F42-EC1A-4a78-B09B-533AAB03C0C2},{7C387F42-EC1A-4a78-B09B-533AAB03C0C2},{CB7BA76D-0793-4d5a-9596-533C5BC56BBF},<memo>,RSGB Model,,,,,,
19,is onderdeel van,De unieke aanduidingen van de WOZ-DEELOBJECTen waaruit het WOZ-OBJECT bestaat.,Association,{9BC2535C-F097-4ac5-BEFF-F5AEC06A5774},{EEC30588-0E12-41c9-977E-C885A0A7EDC3},{EEC30588-0E12-41c9-977E-C885A0A7EDC3},{CB7BA76D-0793-4d5a-9596-533C5BC56BBF},<memo>,RSGB Model,,,,,,
20,bestaat uit,De unieke aanduiding van het PAND dat geheel of gedeeltelijk deel uitmaakt van het WOZ-DEELOBJECT.,Association,{61B75FF9-74DC-47af-8BED-F20EEFF1ABD3},{EEC30588-0E12-41c9-977E-C885A0A7EDC3},{EEC30588-0E12-41c9-977E-C885A0A7EDC3},{26D1113F-F7B3-4bdd-9AAE-EA14CC9F3C3F},<memo>,RSGB Model,,,,,,
21,maakt deel uit van,De unieke aanduidingen van de PANDEN waarvan het VERBLIJFSOBJECT onderdeel uitmaakt.,Association,{3644F34A-DFBA-455b-8EB9-E35A0FF1CD92},{A33151CE-37B2-4026-B0AF-B541687B5B7C},{A33151CE-37B2-4026-B0AF-B541687B5B7C},{26D1113F-F7B3-4bdd-9AAE-EA14CC9F3C3F},<memo>,RSGB Model,,,,,,
22,bestaat uit,"De unieke aanduiding van het BENOEMD OBJECT dat geheel of
gedeeltelijk deel uitmaakt van het WOZ-DEELOBJECT.",Association,{6AA6B25C-3D9B-4338-90DB-A098EBC3D7DF},{EEC30588-0E12-41c9-977E-C885A0A7EDC3},{EEC30588-0E12-41c9-977E-C885A0A7EDC3},{3E9E08B7-574E-43dc-8D93-251BFA8F8D75},<memo>,RSGB Model,,,,,,
23,heeft hoofdlocatie in of op,Het BENOEMD OBJECT waarin of waarop zich (het gedeelte van) de VESTIGING bevindt dat beschouwd wordt als hoofdlocatie voor de uitvoering van de activiteiten van deze VESTIGING,Association,{4A73BBFA-80FE-417c-A59A-81915FFD7BD1},{B60B8EF9-D1C0-4e36-BF9B-1C16F92518DD},{B60B8EF9-D1C0-4e36-BF9B-1C16F92518DD},{3E9E08B7-574E-43dc-8D93-251BFA8F8D75},<memo>,RSGB Model,,,,,,
24,heeft nevenlocatie in of op,De BENOEMDe OBJECTen waarin zich de gedeelten van een VESTIGING bevinden die niet beschouwd worden als hoofdlocatie voor de uitvoering van de activiteiten van deze VESTIGING.,Association,{12085260-E4B0-4852-9F69-FF79A2FB9E67},{B60B8EF9-D1C0-4e36-BF9B-1C16F92518DD},{B60B8EF9-D1C0-4e36-BF9B-1C16F92518DD},{3E9E08B7-574E-43dc-8D93-251BFA8F8D75},<memo>,RSGB Model,,,,,,
25,is specialisatie van,,Generalization,{CBFBC098-828D-42e9-8450-3A17680001B6},{752621CC-D5CA-4f4c-A937-AF6C84E6ADED},{752621CC-D5CA-4f4c-A937-AF6C84E6ADED},{3E9E08B7-574E-43dc-8D93-251BFA8F8D75},,RSGB Model,,,,,,
26,is ontstaan uit / overgegaan in,De verwijzing naar vervallen BENOEMD(e) OBJECT(en) waaruit het BENOEMD OBJECT is ontstaan en naar BENOEMD(e) OBJECT (en) waarin een vervallen BENOEMD OBJECT is overgegaan.,Association,{9A56AD9F-136A-485a-93B1-7137FCC39416},{3E9E08B7-574E-43dc-8D93-251BFA8F8D75},{3E9E08B7-574E-43dc-8D93-251BFA8F8D75},{3E9E08B7-574E-43dc-8D93-251BFA8F8D75},<memo>,RSGB Model,,,,,,
27,is specialisatie van,,Generalization,{8B8B4F3A-C2D4-4d90-9F6B-CF12DDCDF029},{73F1C4A1-481E-4052-A372-1A0895ED1295},{73F1C4A1-481E-4052-A372-1A0895ED1295},{3E9E08B7-574E-43dc-8D93-251BFA8F8D75},,RSGB Model,,,,,,
28,is gesloten/aangegaan in ,De naam van een door het bevoegde gemeentelijk orgaan als zodanig aangewezen gedeelte van het gemeentelijk grondgebied waar het huwelijk is gesloten of het geregistreerd partnerschap is aangegaan.,Association,{F8489A80-C576-4766-910C-C5770F526B92},{28A0D7C0-DABF-403b-B263-22F424032A28},{28A0D7C0-DABF-403b-B263-22F424032A28},{039AFF88-F5F7-4c1a-B7E4-1BDFC495F67A},<memo>,Groepattribuutsoort,,,,,,
29,is ontbonden in,"De woonplaats van een door het bevoegde gemeentelijk orgaan als zodanig aangewezen gedeelte van het gemeentelijk grondgebied waar het huwelijk is ontbonden, dan wel het geregistreerd partnerschap is beëindigd. ",Association,{9C3FAABF-FF65-4d81-9E7B-D0A78B5A910B},{10E7F112-407D-4099-9CC7-F6B53DD094BF},{10E7F112-407D-4099-9CC7-F6B53DD094BF},{039AFF88-F5F7-4c1a-B7E4-1BDFC495F67A},<memo>,Groepattribuutsoort,,,,,,
30,heeft plaatsgevonden in,De naam van een door het bevoegde gemeentelijk orgaan als zodanig aangewezen gedeelte van het gemeentelijk grondgebied waar de persoon is overleden. ,Association,{7E3CD65C-48E2-4879-B654-AA2E4CA0503F},{26BCBA8B-C96C-4fc1-8CC3-40698E0FB71E},{26BCBA8B-C96C-4fc1-8CC3-40698E0FB71E},{039AFF88-F5F7-4c1a-B7E4-1BDFC495F67A},<memo>,Groepattribuutsoort,,,,,,
31,verblijft op locatie in,,Association,{6D6C36DB-48B6-474e-B234-25D02A6F8D33},{E5E010C2-C1F3-4986-AA9A-C71C19263606},{E5E010C2-C1F3-4986-AA9A-C71C19263606},{039AFF88-F5F7-4c1a-B7E4-1BDFC495F67A},<memo>,Groepattribuutsoort,,,,,,
32,heeft als correspondentieadres postadres in,De woonplaats die behoort bij het postadres van het SUBJECT,Association,{2A3BF217-F7B1-422a-9EAE-8EBB4422E5F2},{990C2EBD-AB9B-4f3f-AFF0-18BA11A552DA},{990C2EBD-AB9B-4f3f-AFF0-18BA11A552DA},{039AFF88-F5F7-4c1a-B7E4-1BDFC495F67A},<memo>,Groepattribuutsoort,,,,,,
33,heeft plaatsgevonden in ,,Association,{1A737C50-784B-4d5b-B971-2FA03EBACB2C},{C9DD308F-7EA7-4c1a-BC7D-68077692C113},{C9DD308F-7EA7-4c1a-BC7D-68077692C113},{039AFF88-F5F7-4c1a-B7E4-1BDFC495F67A},<memo>,Groepattribuutsoort,,,,,,
34,ligt in,Unieke aanduiding van de woonplaats waarbinnen een OPENBARE RUIMTE is gelegen.,Association,{A74A6822-8290-4666-B395-5571E73EF773},{FB13857C-C695-4b53-8060-BACFA0E16950},{FB13857C-C695-4b53-8060-BACFA0E16950},{039AFF88-F5F7-4c1a-B7E4-1BDFC495F67A},<memo>,RSGB Model,,,,,,
35,ligt in,"De unieke aanduiding van de WOONPLAATS waarbinnen het object, waaraan de ADRESSEERBAAR OBJECT AANDUIDING is toegekend, is gelegen.",Association,{08EA443E-3F28-4a10-B0DB-D9BBB6B1B38C},{31A87864-6CE0-4e93-A493-ECD0FBDD4461},{31A87864-6CE0-4e93-A493-ECD0FBDD4461},{039AFF88-F5F7-4c1a-B7E4-1BDFC495F67A},<memo>,RSGB Model,,,,,,
36,verblijft in,Het VERBLIJFSOBJECT behorende bij het woonadres van de persoon,Association,{2F24AEED-4335-4b62-A0CD-9543D77552F9},{E5E010C2-C1F3-4986-AA9A-C71C19263606},{E5E010C2-C1F3-4986-AA9A-C71C19263606},{A33151CE-37B2-4026-B0AF-B541687B5B7C},<memo>,Groepattribuutsoort,,,,,,
37,verblijft op,De STANDPLAATS behorende bij het woonadres van de persoon,Association,{3DFCCBD6-B0BB-4299-B67B-978A0FC90E27},{E5E010C2-C1F3-4986-AA9A-C71C19263606},{E5E010C2-C1F3-4986-AA9A-C71C19263606},{B1C6CA45-49C9-45f0-8B14-A721AD505C50},<memo>,Groepattribuutsoort,,,,,,
38,is ingeschreven op,De NUMMERAANDUIDING bij het ADRESSEERBAAR OBJECT waarin de INGESCHREVEN NATUURLIJK PERSOON verblijft en die hij/zij gekozen heeft als inschrijvingsadres.,Association,{3F23A45A-85D5-41da-AC81-926674F1F3D0},{E5E010C2-C1F3-4986-AA9A-C71C19263606},{E5E010C2-C1F3-4986-AA9A-C71C19263606},{BA35A5E2-5A1D-4328-91CD-D51694ED5FBA},<memo>,Groepattribuutsoort,,,,,,
39,is specialisatie van,,Generalization,{C5E850E0-1018-4d64-8F3C-55C4E3055752},{A33151CE-37B2-4026-B0AF-B541687B5B7C},{A33151CE-37B2-4026-B0AF-B541687B5B7C},{BA35A5E2-5A1D-4328-91CD-D51694ED5FBA},,RSGB Model,,,,,,
40,is specialisatie van,,Generalization,{1924E3C8-8437-4fe3-BAB2-AEAFF7234917},{7CDF37D9-26D7-46a5-9CF3-392601BDCECA},{7CDF37D9-26D7-46a5-9CF3-392601BDCECA},{BA35A5E2-5A1D-4328-91CD-D51694ED5FBA},,RSGB Model,,,,,,
41,heeft als nevenadres,Relatie naar hoofdadres,Association,{D23F2649-1EAC-4e38-AE5D-ADA51D334AC9},{31A87864-6CE0-4e93-A493-ECD0FBDD4461},{31A87864-6CE0-4e93-A493-ECD0FBDD4461},{BA35A5E2-5A1D-4328-91CD-D51694ED5FBA},,RSGB Model,,,,,,
42,heeft als hoofdadres,De unieke aanduiding van de Nummeraanduiding die in het kader van de Basisregistratie Adressen en Gebouwen is aangemerkt als het hoofdadres van een adresseerbaar object.,Association,{293514AA-9A4B-445c-8F4C-7F85C924AFB8},{31A87864-6CE0-4e93-A493-ECD0FBDD4461},{31A87864-6CE0-4e93-A493-ECD0FBDD4461},{BA35A5E2-5A1D-4328-91CD-D51694ED5FBA},,RSGB Model,,,,,,
43,is specialisatie van,,Generalization,{78471D18-5B5A-41e8-9981-09DAA2E2DDD8},{B1C6CA45-49C9-45f0-8B14-A721AD505C50},{B1C6CA45-49C9-45f0-8B14-A721AD505C50},{BA35A5E2-5A1D-4328-91CD-D51694ED5FBA},,RSGB Model,,,,,,
44,is specialisatie van,,Generalization,{479990C6-8BA2-46e4-A463-07A39FF52D05},{F4978264-32A5-4e70-97A8-D142B64400A8},{F4978264-32A5-4e70-97A8-D142B64400A8},{BA35A5E2-5A1D-4328-91CD-D51694ED5FBA},,RSGB Model,,,,,,
45,verblijft op,De LIGPLAATS behorende bij het woonadres van de persoon,Association,{ED2066DB-E293-4345-84CC-06CCC46A2791},{E5E010C2-C1F3-4986-AA9A-C71C19263606},{E5E010C2-C1F3-4986-AA9A-C71C19263606},{F4978264-32A5-4e70-97A8-D142B64400A8},<memo>,Groepattribuutsoort,,,,,,
